diagonal_blocks/0/block/0,diagonal_blocks/0/block/1,diagonal_blocks/0/block/2,diagonal_blocks/0/block/3,diagonal_blocks/0/block/4,diagonal_blocks/0/block/5,diagonal_blocks/0/block/6,diagonal_blocks/0/block/7,diagonal_blocks/0/block/8,diagonal_blocks/0/block/9,diagonal_blocks/0/block/10,diagonal_blocks/0/block/11,diagonal_blocks/0/block/12,diagonal_blocks/0/block/13,diagonal_blocks/0/block/14,diagonal_blocks/0/block/15,diagonal_blocks/0/block/16,diagonal_blocks/0/block/17,diagonal_blocks/0/block/18,diagonal_blocks/0/block/19,diagonal_blocks/0/block/20,diagonal_blocks/0/block_idx,linear_iterations,newton_iteration,newton_residual/angular,newton_residual/linear,preconditioner,rhs/0,rhs/1,rhs/2,rhs/3,rhs/4,rhs/5,solution/0,solution/1,solution/2,solution/3,solution/4,solution/5,stage,status,system_size,relative_residuals/0,relative_residuals/1,relative_residuals/2,relative_residuals/3,relative_residuals/4
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499197,1.476614,0,0,0,-0.2335935,0.4414696,9.656097,0,0,0,0.000006194198,0.00000118919,100,-0.00000184692,-0.000006103516,0.000002386903,0.00004588174,-4.070444e-8,0.00003545876,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499197,1.476614,0,0,0,-0.2335935,0.4414696,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499192,1.476614,0,0,0,-0.2335935,0.4414689,9.656097,0,4,0,0.0000147049,0.00000118919,100,-0.00000184692,-0.000006103516,0.000002386903,0.0001089224,-9.668474e-8,0.0000841784,-3.22568e-7,-0.000001065991,4.168771e-7,0.00001162981,2.648948e-11,0.000008998981,velocity,Success,6,1,0.01919007,0.0004974262,0.00006504166,7.944611e-9
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499192,1.476614,0,0,0,-0.2335935,0.4414689,9.656097,0,0,1,1.409488e-12,1.171857e-13,100,0,6.50934e-13,-1.627335e-13,1.289983e-11,4.57284e-14,-1.62284e-13,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499192,1.476614,0,0,0,-0.2335935,0.4414689,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499199,1.476615,0,0,0,-0.2335935,0.4414698,9.656097,0,0,0,7.125356e-9,0.000001193081,100,0.000001877483,0.000006103516,-0.000002426386,-5.277219e-8,2.088796e-11,-4.079751e-8,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499199,1.476615,0,0,0,-0.2335935,0.4414698,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499206,1.476615,0,0,0,-0.2335935,0.4414707,9.656097,0,0,0,0.000004956501,0.000001193081,100,0.000001877483,0.000006103516,-0.000002426386,-0.00003671383,3.257435e-8,-0.00002837358,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499206,1.476615,0,0,0,-0.2335935,0.4414707,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499213,1.476615,0,0,0,-0.2335935,0.4414717,9.656097,0,4,0,0.00001426105,0.000001193081,100,0.000001877483,0.000006103516,-0.000002426386,-0.0001056346,9.377572e-8,-0.00008163758,3.27906e-7,0.000001065991,-4.237728e-7,-0.00001127877,-1.741673e-11,-0.000008727358,velocity,Success,6,1,0.0198489,0.0004973276,0.00006498685,1.591777e-8
